Crack1_30,Crack1_50,Crack2_30,Crack2_50,Crack3_30,Crack3_50,Crack4_30,Crack4_50,Crack5_30,Crack5_50,Crack6_30,Crack6_50,Anomaly_Label,Anomaly_Score,Anomaly_Status
0.00981,-0.14715,0.47088,-3.21768,-1.44207,4.47336,0.27468,0.67689,0.77499,0.4905,-1.25568,-3.11958,1,0.1350742535398538,Normal
-0.1962,0.52974,0.15696,-3.20787,-0.24525,5.74866,0.60822,1.12815,-0.13734,0.0,-1.33416,-3.35502,1,0.12472826557932376,Normal
-0.42183,0.87309,-0.81423,-1.75599,-1.57941,4.04172,0.63765,1.00062,-0.48069,-0.01962,-2.28573,-2.04048,1,0.14215278388559416,Normal
0.15696,0.38259,-0.94176,-2.58003,-0.83385,3.74742,0.65727,1.61865,1.00062,0.06867,-0.77499,-2.88414,1,0.1520066324048165,Normal
0.30411,-1.13796,-1.30473,-3.30597,-1.42245,4.34583,1.52055,1.33416,1.05948,-0.0981,0.24525,-3.56103,1,0.13114434596173163,Normal
0.03924,-1.50093,-1.53036,-2.03067,-0.47088,2.23668,1.38321,1.4715,2.08953,0.26487,0.80442,-3.26673,1,0.1467542474777801,Normal
0.0981,-0.6867,-1.63827,-0.20601,-0.56898,0.55917,1.03005,0.33354,0.89271,-0.46107,0.28449,-1.85409,1,0.16529911698258126,Normal
1.05948,0.06867,-1.28511,1.08891,-0.23544,0.32373,0.15696,1.05948,0.75537,0.35316,0.8829,-2.67813,1,0.16818011917899295,Normal
0.45126,0.75537,-1.23606,0.99081,-0.23544,1.70694,0.17658,0.22563,1.63827,0.43164,2.05029,-2.21706,1,0.16243589157691524,Normal
1.09872,0.40221,-1.70694,0.55917,1.00062,1.7658,0.28449,0.06867,0.82404,-0.07848,1.73637,-1.64808,1,0.17095845281888816,Normal
0.42183,-0.12753,-2.85471,1.53036,0.56898,-0.15696,-0.17658,-0.47088,-0.12753,0.0981,0.77499,-0.8829,1,0.16447697458873545,Normal
0.81423,-1.99143,-2.54079,1.61865,1.49112,-1.3734,0.60822,-0.21582,1.01043,-0.14715,1.52055,-2.89395,1,0.1559073935577906,Normal
0.36297,-3.79647,-2.62908,1.80504,2.87433,-1.52055,0.84366,-1.06929,2.73699,0.45126,2.66832,-2.83509,1,0.1024476066680714,Normal
0.70632,-4.37526,-1.6677,1.40283,3.37464,-3.09015,0.53955,-1.80504,2.00124,0.25506,1.61865,-2.76642,1,0.11577450823131485,Normal
-0.51993,-3.74742,-1.85409,2.1582,2.52117,-3.5316,0.30411,-2.40345,1.69713,0.20601,2.54079,-3.10977,1,0.10743320513107796,Normal
0.37278,-4.11039,-1.51074,2.49174,3.2373,-5.61132,0.06867,-3.81609,2.77623,0.67689,4.46355,-3.85533,1,0.05428711095228733,Normal
-0.15696,-2.83509,-1.50093,3.55122,3.39426,-2.19744,-0.12753,-3.00186,3.00186,1.05948,3.01167,-3.60027,1,0.08017903627450385,Normal
-0.26487,-2.75661,-2.14839,3.00186,2.21706,-1.42245,-0.2943,-2.91357,2.06991,0.981,2.24649,-2.23668,1,0.12637888800316815,Normal
-0.92214,-2.80566,-2.58003,2.76642,3.39426,-1.87371,-0.41202,-2.943,1.6677,-0.07848,-0.25506,-2.14839,1,0.11203317785349409,Normal
-0.91233,-2.27592,-2.19744,1.8639,3.03129,-0.73575,-0.60822,-2.4525,2.10915,0.15696,2.40345,-1.52055,1,0.12119074549356224,Normal
-1.97181,-1.90314,-2.2563,0.981,4.23792,1.88352,0.33354,-2.1582,1.81485,0.27468,-1.69713,-1.92276,1,0.11484331975889939,Normal
-1.93257,-0.80442,-1.7658,0.20601,3.50217,0.10791,-0.17658,-2.16801,2.98224,-1.05948,-0.8829,-0.85347,1,0.12288906224206703,Normal
-2.60946,0.93195,-2.06991,-0.17658,3.32559,-1.09872,0.32373,-2.29554,1.59903,-2.14839,-1.7658,-0.69651,1,0.12465385250376482,Normal
-3.05091,0.7848,-1.87371,-0.91233,2.93319,1.63827,-0.12753,-2.62908,1.84428,-2.47212,-0.59841,-0.55917,1,0.11393791714942086,Normal
-2.80566,3.06072,-1.13796,-0.76518,2.943,2.26611,0.59841,-1.68732,1.16739,-2.49174,-3.64932,-0.71613,1,0.10642631557313131,Normal
-2.26611,2.91357,-0.28449,-0.99081,1.33416,2.24649,1.04967,-1.34397,1.32435,-2.34459,-3.39426,-0.10791,1,0.13849546159001364,Normal
-2.23668,3.87495,-0.73575,-2.22687,4.35564,1.57941,0.90252,0.02943,0.27468,-3.14901,-3.20787,0.26487,1,0.11155994067293123,Normal
-1.90314,2.6487,-1.10853,-2.68794,2.46231,1.0791,1.02024,0.18639,0.71613,-2.98224,-4.05153,-0.01962,1,0.0964366696039351,Normal
-1.34397,3.40407,-0.64746,-2.73699,2.02086,1.81485,1.23606,0.38259,0.79461,-3.83571,-4.55184,1.42245,1,0.10782519165757071,Normal
-1.14777,2.12877,-1.18701,-3.90438,3.68856,0.86328,1.64808,0.84366,0.79461,-3.86514,-3.83571,1.42245,1,0.09275559197137873,Normal
-0.96138,2.23668,-0.72594,-3.90438,2.98224,0.26487,1.85409,0.71613,-1.18701,-4.10058,-3.21768,0.34335,1,0.11095230675837836,Normal
-0.54936,2.31516,-0.66708,-4.82652,2.06991,0.6867,1.89333,-0.18639,-1.18701,-3.4335,-2.41326,-1.57941,1,0.1291398043287884,Normal
0.52974,2.90376,0.63765,-4.35564,1.12815,1.90314,1.7658,-0.76518,-0.99081,-3.69837,-4.30659,-1.73637,1,0.11968293179094192,Normal
0.45126,3.25692,0.18639,-4.26735,0.5886,2.00124,2.16801,-0.7848,-1.35378,-3.95343,-3.97305,-1.78542,1,0.11218053113009152,Normal
0.15696,1.61865,-0.4905,-3.97305,1.49112,2.54079,2.37402,-2.00124,-2.79585,-2.65851,-3.01167,-3.4335,1,0.10946526238276799,Normal
0.76518,1.93257,-0.76518,-3.35502,1.49112,0.79461,2.1582,-1.29492,-1.7658,-2.1582,-3.31578,-3.7278,1,0.12558767199768184,Normal
0.21582,0.14715,-1.18701,-2.50155,0.07848,1.31454,2.22687,-1.0791,-1.94238,-2.66832,-3.70818,-3.34521,1,0.11862697017981594,Normal
-0.14715,-0.6867,-2.4525,-2.30535,0.981,-0.30411,2.76642,-1.99143,-1.4715,-2.06991,-3.27654,-3.95343,1,0.10608379187622596,Normal
-0.48069,-2.26611,-2.50155,-3.34521,0.04905,-2.72718,1.92276,-2.91357,-1.69713,-1.33416,-2.76642,-3.87495,1,0.11228120782799317,Normal
-0.73575,-0.44145,-1.60884,-2.22687,0.27468,-2.87433,2.14839,-3.15882,-1.79523,-0.30411,-3.30597,-2.51136,1,0.12608347825732324,Normal
-1.20663,-0.54936,-1.72656,-1.10853,0.06867,1.02024,2.41326,-3.93381,-2.70756,-1.13796,-2.72718,-2.44269,1,0.1224015633217787,Normal
-1.04967,1.06929,-1.80504,-2.10915,-0.44145,0.25506,2.71737,-4.33602,-2.72718,-0.36297,-2.69775,-3.49236,1,0.10351441764199304,Normal
-1.05948,0.47088,-3.25692,-1.11834,-1.05948,-0.69651,2.00124,-4.16925,-1.93257,1.20663,-1.10853,-2.58984,1,0.13824617958511198,Normal
-1.06929,1.00062,-2.88414,-0.63765,-0.82404,-1.84428,2.49174,-3.5316,-0.92214,0.86328,-1.40283,-2.77623,1,0.1398145958558265,Normal
