Signal,Window_Start,Window_Size,RMS,STD,Peak_to_Peak,Crest_Factor
Crack1_30,2900,100,1.6853043239415246,1.5029791348630759,6.13125,2.8390723822909347
Crack1_30,3000,100,1.685364852139738,1.656093785350383,5.94486,2.0000000000000004
Crack1_30,3100,100,1.4746910030948857,1.3271994319236693,5.1012,2.866649603276171
Crack1_30,3200,100,0.7202183722469179,0.6164754488933358,3.2078699999999998,4.090752836026125
Crack1_30,3300,100,1.6509778255851895,1.35548407610232,5.1012,2.738321862644604
Crack1_30,3400,100,1.2978515067518317,1.0735808886771596,4.92462,2.957589285714285
Crack1_30,3500,100,1.4522458403948004,1.432710114203149,6.12144,2.612788055826031
Crack1_30,3600,100,1.2523032722148417,1.0950103046702528,5.41512,3.7749003984063743
Crack1_30,3700,100,1.6435360269060124,1.044887852664275,4.60089,2.68243438130949
Crack1_30,3800,100,1.8542088580950098,1.0315781240235955,5.04234,2.804726368159204
Crack1_30,3900,100,1.1505729083521825,1.1503813691947729,4.84614,2.6822968408503876
Crack1_30,4000,100,2.2872548831964488,0.9169333059988606,4.38507,2.214419475655431
Crack1_30,4100,100,1.225592946367594,1.047129785277336,4.806900000000001,2.3619118467546953
Crack1_30,4200,100,1.10897960616776,1.007598829703945,4.71861,3.342275877487145
Crack1_30,4300,100,1.6626529080881554,1.2298022120959289,4.87557,2.8154631655725737
Crack1_30,4400,100,1.62807819259027,1.6280689240775525,6.49422,2.4163568773234205
Crack1_30,4500,100,1.7431831739016985,1.5136254740332695,5.846760000000001,2.8618830360846133
Crack1_30,4600,100,1.5988088083210574,1.5684098747747381,6.1999200000000005,2.805292458968982
Crack1_30,4700,100,1.1734703793833061,1.1723092675115045,4.385070000000001,2.4570024570024573
Crack1_50,0,100,1.9594320234435285,1.7997412097236536,8.48565,3.4533572526909277
Crack1_50,100,100,1.6867298709310272,1.6490282461797767,8.25021,3.30688811448061
Crack1_50,200,100,2.232017326184768,2.1495101510844257,9.35874,2.5509935171032514
Crack1_50,300,100,2.126965460960756,2.126887193461007,7.97553,2.2135838462369075
Crack1_50,400,100,2.1810301880854377,1.6509714602650647,6.4157399999999996,3.008962868117798
Crack1_50,500,100,1.8158121854778924,1.519104394758306,7.2495899999999995,2.841054517532633
Crack1_50,600,100,2.964076524411946,2.0410668648843915,9.7119,2.948748893716309
Crack1_50,700,100,1.7238352963641856,1.7225173680990593,10.604610000000001,4.390966308774528
Crack1_50,800,100,1.9775789675193758,1.7716481148524135,9.18216,3.404726254801119
Crack1_50,900,100,3.0435140423436526,2.981700173640366,11.575800000000001,2.468676804104547
Crack1_50,1000,100,1.3706665963559481,1.3496738468087168,6.36669,3.404292751583392
Crack1_50,1100,100,3.7506806632403404,1.6531719878185058,6.65118,2.127101605524637
Crack1_50,1200,100,5.950190138726829,1.715100567050807,8.26983,1.8405647382920112
Crack1_50,1300,100,4.671810399329579,3.985470267032306,13.547609999999999,2.088393580035243
Crack1_50,1400,100,11.53985088572777,2.076203482982446,8.475839999999998,1.3118550910002245
Crack1_50,1500,100,5.750585015745964,3.0884452306719896,13.8321,2.2424986145198313
Crack1_50,1600,100,4.282700411618819,3.4040303300512704,14.30298,3.1927357937902756
Crack1_50,1700,100,4.449176660419768,2.3857203520409427,10.95777,2.6494146642020953
Crack1_50,1800,100,2.1193539529618457,1.896127846537092,9.07425,3.2235581111691936
Crack1_50,1900,100,3.6118428371219307,2.3481834424322026,8.78976,2.477740354153466
Crack1_50,2000,100,3.6328040679927955,2.0825057729889034,9.06444,2.2247114098136223
Crack1_50,2100,100,4.131560434631206,2.235836404649911,9.65304,1.7653435193310278
Crack1_50,2200,100,2.6702403738489537,2.4407898617542214,10.4967,2.6298545279804286
Crack1_50,2300,100,1.9950149136660607,1.7870723820746601,8.85843,4.050334250884782
Crack1_50,2400,100,1.995914596028848,1.995914053592677,9.58437,3.2817222873357594
Crack1_50,2500,100,2.471517117558161,1.6582978455711115,6.808140000000001,3.128034755941733
Crack1_50,2600,100,2.0150124468094486,1.9271587050612595,8.672039999999999,2.920169395107768
Crack1_50,2700,100,1.9128999431912272,1.6721094180151579,7.19073,2.3527220808243845
Crack2_30,0,100,1.501847563650519,1.4985561898684048,6.867,3.180443136293026
Crack2_30,100,100,1.4985560903286201,1.2092016707031585,4.75785,2.5730450282879955
Crack2_30,200,100,1.321981856028289,1.2983995250210314,5.31702,3.0174793008279672
Crack2_30,300,100,0.9481018624040352,0.8855615614719059,4.68918,3.4950968066381702
Crack2_30,400,100,1.0197578755067302,1.0196117024213873,4.64994,3.1486453502562846
Crack2_30,500,100,0.7390967542000166,0.7298661821943184,3.52179,3.076667221021121
Crack2_30,600,100,1.5617396758307704,1.2479122666637106,6.0822,2.8854756934088868
Crack2_30,700,100,0.9329067583601268,0.7390061501180082,3.25692,2.535317860746721
Crack2_30,800,100,0.9336007485536846,0.9303785588130242,4.01229,2.970171890798786
Crack2_30,900,100,1.395746170440743,1.036025382337151,4.35564,2.6900882552613714
Crack2_30,1000,100,1.5546513373325865,1.4745921331764928,5.47398,2.3946360153256703
Crack2_30,1100,100,1.4383096022223452,1.3189875741334753,5.37588,2.591178620745675
Crack2_30,1200,100,1.4654629681216789,1.3970814296865446,5.5132200000000005,2.516462841015993
Crack2_30,1300,100,0.9262250612059685,0.8718987824480776,3.8455199999999996,2.806518365235385
Crack2_30,1400,100,1.507257896141201,1.4879402866320142,5.473979999999999,2.4932003626473254
Crack2_30,1500,100,1.1371893157508999,1.077376076148436,4.208489999999999,2.6315789473684212
Crack2_30,1600,100,1.2647346327012636,1.2530825839070783,6.11163,3.3014260597773
Crack2_30,1700,100,1.2173403671927583,1.110968406427163,4.71861,2.295752393345106
Crack2_30,1800,100,1.3316694698989684,0.9935093131572497,4.45374,2.7309653443954716
Crack2_30,1900,100,1.8007619823649654,1.2502519945715702,5.21892,2.548824892419729
Crack2_30,2000,100,2.903018189706017,1.4201014415326112,5.699610000000001,2.206565500154847
Crack2_30,2100,100,3.1202058645765667,2.034853319385493,8.093250000000001,2.2756686798964627
Crack2_30,2200,100,4.482707811405289,2.355545276020557,8.75052,2.3586604249189773
