Crack1_30,Crack2_30,Crack3_30,Crack4_30,Crack5_30,Crack6_30
-0.53955,-2.23668,-0.07848,0.23544,0.62784,-1.20663
1.25568,0.93195,3.66894,0.82404,2.44269,2.12877
0.3924,1.22625,-2.3544,-3.25692,-1.46169,0.51012
-0.89271,-1.43226,2.68794,1.98162,-1.46169,3.78666
-7.39674,-1.05948,-5.18949,-5.20911,-2.2563,-3.93381
2.39364,2.49174,-1.13796,0.73575,0.14715,0.37278
0.0,1.71675,-1.22625,0.07848,-1.31454,0.3924
-0.22563,0.48069,-0.42183,0.59841,0.25506,0.55917
2.58984,4.69899,2.43288,1.20663,0.32373,1.73637
-3.64932,0.5886,-4.27716,-3.87495,-0.67689,-0.66708
-0.84366,-1.28511,0.76518,0.99081,-0.40221,-1.98162
1.4715,-2.63889,0.36297,1.01043,-1.19682,0.42183
0.96138,0.981,1.43226,3.61989,3.08034,1.16739
0.90252,0.32373,-3.01167,2.23668,-2.61927,0.35316
4.14963,1.35378,4.64013,3.86514,1.26549,-4.05153
1.49112,3.8259,1.19682,2.87433,2.53098,1.85409
-2.34459,-0.95157,-0.65727,-0.85347,1.18701,1.99143
-1.35378,-0.31392,-0.30411,2.12877,-2.09934,-0.20601
3.08034,-0.15696,-1.92276,0.67689,2.57022,-3.46293
-0.60822,1.26549,-0.22563,-0.26487,-1.80504,-0.25506
-2.39364,0.40221,1.70694,1.02024,-2.59965,-0.63765
1.2753,1.30473,-0.43164,-0.51012,-0.3924,1.8639
1.92276,0.82404,3.03129,0.64746,1.60884,-2.49174
1.44207,0.65727,-1.32435,-0.87309,0.7848,1.95219
-0.46107,-1.23606,-0.17658,0.79461,-1.40283,0.35316
-10.42803,-2.65851,-7.44579,-5.51322,-1.03986,-0.33354
-0.04905,-0.54936,-1.2753,2.00124,2.0601,-0.54936
-0.17658,-1.15758,-0.43164,-1.0791,1.49112,-1.52055
3.81609,3.03129,1.962,1.48131,-0.01962,5.47398
1.28511,-0.31392,-0.10791,0.01962,2.36421,-0.46107
-2.43288,0.8829,2.96262,1.09872,-0.59841,0.59841
-1.1772,-0.93195,0.65727,1.79523,1.18701,-0.73575
1.42245,1.28511,-0.8829,-1.57941,1.50093,-3.88476
1.92276,-3.32559,-0.41202,0.91233,1.57941,-0.03924
-0.18639,-0.54936,0.42183,-0.43164,2.40345,-3.16863
-0.8829,1.06929,1.55979,1.92276,-2.13858,-0.91233
0.80442,-0.42183,-1.05948,2.6487,0.86328,-1.6677
-1.26549,-2.20725,2.01105,1.6677,2.21706,-2.16801
0.12753,0.92214,2.1582,-0.90252,-0.34335,-5.27778
-2.07972,-2.85471,-0.63765,1.77561,2.07972,-0.59841
-0.4905,1.01043,-0.18639,-0.37278,-0.0981,1.54017
0.56898,-2.43288,0.42183,-1.03986,-1.51074,-0.31392
-2.0601,0.17658,-0.1962,-3.36483,1.64808,1.43226
0.34335,1.25568,-0.96138,-1.67751,-1.46169,1.11834
2.90376,0.7848,0.7848,-0.34335,0.18639,0.86328
-0.38259,-4.82652,-1.51074,-0.00981,0.50031,-1.32435
2.30535,0.83385,-2.42307,2.1582,0.31392,-0.32373
-1.23606,-2.12877,0.95157,1.78542,1.92276,-3.38445
-0.76518,-2.19744,2.81547,1.88352,-1.59903,2.08953
-0.70632,0.35316,-0.55917,-0.15696,4.56165,-0.6867
2.31516,0.86328,-1.0791,-0.92214,0.02943,-0.55917
2.18763,0.42183,1.39302,-0.24525,-3.3354,-0.18639
1.12815,3.02148,-0.03924,1.03005,-3.87495,2.68794
-0.75537,-0.53955,2.00124,-2.44269,-1.67751,-0.75537
2.56041,1.70694,-1.12815,0.43164,-0.20601,3.29616
-8.12268,-5.94486,-8.41698,-5.1012,-3.64932,-2.99205
-0.44145,-0.26487,5.25816,-0.28449,1.44207,-0.15696
-2.54079,-0.07848,1.26549,0.81423,-1.02024,1.74618
-1.4715,0.16677,-1.2753,0.56898,-0.15696,2.13858
-4.93443,-8.5347,-5.63094,-3.66894,-5.07177,-2.21706
0.22563,0.65727,0.60822,-0.32373,-0.81423,-1.25568
-0.1962,-0.7848,-2.04048,-0.79461,-2.20725,2.07972
