Crack1_30,Crack1_50,Crack2_30,Crack2_50,Crack3_30,Crack3_50,Crack4_30,Crack4_50,Crack5_30,Crack5_50,Crack6_30,Crack6_50
-2.60946,0.93195,-2.06991,-0.17658,3.32559,-1.09872,0.32373,-2.29554,1.59903,-2.14839,-1.7658,-0.69651
-3.05091,0.7848,-1.87371,-0.91233,2.93319,1.63827,-0.12753,-2.62908,1.84428,-2.47212,-0.59841,-0.55917
-2.80566,3.06072,-1.13796,-0.76518,2.943,2.26611,0.59841,-1.68732,1.16739,-2.49174,-3.64932,-0.71613
-2.26611,2.91357,-0.28449,-0.99081,1.33416,2.24649,1.04967,-1.34397,1.32435,-2.34459,-3.39426,-0.10791
-2.23668,3.87495,-0.73575,-2.22687,4.35564,1.57941,0.90252,0.02943,0.27468,-3.14901,-3.20787,0.26487
-1.90314,2.6487,-1.10853,-2.68794,2.46231,1.0791,1.02024,0.18639,0.71613,-2.98224,-4.05153,-0.01962
-1.34397,3.40407,-0.64746,-2.73699,2.02086,1.81485,1.23606,0.38259,0.79461,-3.83571,-4.55184,1.42245
-1.14777,2.12877,-1.18701,-3.90438,3.68856,0.86328,1.64808,0.84366,0.79461,-3.86514,-3.83571,1.42245
-0.96138,2.23668,-0.72594,-3.90438,2.98224,0.26487,1.85409,0.71613,-1.18701,-4.10058,-3.21768,0.34335
-0.54936,2.31516,-0.66708,-4.82652,2.06991,0.6867,1.89333,-0.18639,-1.18701,-3.4335,-2.41326,-1.57941
0.52974,2.90376,0.63765,-4.35564,1.12815,1.90314,1.7658,-0.76518,-0.99081,-3.69837,-4.30659,-1.73637
0.45126,3.25692,0.18639,-4.26735,0.5886,2.00124,2.16801,-0.7848,-1.35378,-3.95343,-3.97305,-1.78542
0.15696,1.61865,-0.4905,-3.97305,1.49112,2.54079,2.37402,-2.00124,-2.79585,-2.65851,-3.01167,-3.4335
0.76518,1.93257,-0.76518,-3.35502,1.49112,0.79461,2.1582,-1.29492,-1.7658,-2.1582,-3.31578,-3.7278
0.21582,0.14715,-1.18701,-2.50155,0.07848,1.31454,2.22687,-1.0791,-1.94238,-2.66832,-3.70818,-3.34521
-0.14715,-0.6867,-2.4525,-2.30535,0.981,-0.30411,2.76642,-1.99143,-1.4715,-2.06991,-3.27654,-3.95343
-0.48069,-2.26611,-2.50155,-3.34521,0.04905,-2.72718,1.92276,-2.91357,-1.69713,-1.33416,-2.76642,-3.87495
-0.73575,-0.44145,-1.60884,-2.22687,0.27468,-2.87433,2.14839,-3.15882,-1.79523,-0.30411,-3.30597,-2.51136
-1.20663,-0.54936,-1.72656,-1.10853,0.06867,1.02024,2.41326,-3.93381,-2.70756,-1.13796,-2.72718,-2.44269
-1.04967,1.06929,-1.80504,-2.10915,-0.44145,0.25506,2.71737,-4.33602,-2.72718,-0.36297,-2.69775,-3.49236
-1.05948,0.47088,-3.25692,-1.11834,-1.05948,-0.69651,2.00124,-4.16925,-1.93257,1.20663,-1.10853,-2.58984
-1.06929,1.00062,-2.88414,-0.63765,-0.82404,-1.84428,2.49174,-3.5316,-0.92214,0.86328,-1.40283,-2.77623
