RMS,Standard_Deviation,Peak_to_Peak
1.9485509927507672,1.8794118401430804,5.52303
1.25530312703745,1.2879512598813667,3.27654
0.8656085924076771,0.8649153090736689,2.1974400000000003
5.814341842156341,3.93801023769492,10.09449
1.3217010730683394,1.4166185744334994,3.3354
1.099807029232856,1.0844805992870503,3.01167
3.155942206196115,1.9205239217125103,5.4936
1.1228058202556663,1.1198649602876234,2.82528
1.7028852703279806,1.808189958040913,5.3955
1.1445163498832158,1.24533303782964,2.97243
2.0121742467291446,2.169369361164668,5.38569
1.744263794112003,1.9071953673889837,5.24835
1.6591955510427334,1.796507168646983,5.57208
1.49770462269768,1.6367684406140046,4.06134
1.442776102640323,1.5660449584063671,4.3164
1.9542511480871643,2.14026833356007,4.42431
2.3913673432369187,2.548702694329019,7.43598
1.8581945836214249,1.9911803045430116,4.93443
0.79760186750659,0.8353470854860272,2.03067
1.2834052242179785,1.1654745167484357,3.0018599999999998
1.844058218047901,1.9734093737463598,5.01291
1.2124448304355955,1.3039368453840086,2.9331899999999997
1.3267458328933996,1.1036315399806222,3.24711
2.149740876663976,1.9088522418353917,5.32683
1.6704483823812095,1.7535568226208125,4.72842
2.0536237848374275,2.2170491482035306,5.30721
1.9921426680461418,2.1440756886336825,5.01291
1.9253192406715307,2.0459311033561223,5.26797
1.185576820750136,1.2933434948844797,3.39426
1.7380042309499708,1.903402930290904,5.52303
2.3701218512663016,2.493990005791924,6.8964300000000005
1.5393731218746156,1.5047199112359748,4.44393
1.9076813985175824,1.699452379218082,4.42431
6.061586484126908,2.245352351678908,5.424930000000001
2.2397327850884357,2.234283584641842,5.69961
1.4615199062106543,1.6006531424484194,4.28697
1.2070220704485897,1.3222155132314855,3.61008
5.3696138206671815,2.1174304201555247,6.317640000000001
0.7299940851815171,0.7825076521031599,1.91295
1.5623997036290043,1.5527094954304879,4.28697
1.4498679977846258,1.08037751651911,2.68794
1.4651150978165504,1.5507093695306027,4.08096
1.632390091935748,1.7508408779412252,4.64013
1.53181613416885,1.3149791803675068,3.56103
3.215111825722396,3.4663881741374554,9.89829
2.718066408956926,1.7375612015696023,4.64994
1.7702996004066656,1.5318014749699127,3.98286
1.682479350081302,1.5565897263794335,4.03191
1.3883258585433031,1.5186015193196667,4.17906
1.4709058300414748,1.5171570176451743,4.29678
1.4658374548530269,1.6033443912615903,4.5126
1.7843596301754867,1.8310166372482801,4.84614
0.6938682648385067,0.6231551067832148,1.6677
1.1379247623854574,1.187867727295426,3.2471099999999997
2.583254467953167,2.7229963665858974,6.4844100000000005
2.331146510936196,2.5488845596672283,7.51446
2.03725067776403,2.0872466608884537,5.75847
1.8323222587880112,1.7313552245654267,4.16925
0.673123761391618,0.7337044965856486,2.0601000000000003
1.4456525397376785,1.5152613349353308,4.48317
2.8172098544038215,2.506786137617248,5.69961
2.2268303851101905,1.935445295065195,4.42431
1.0827650940531839,1.1860610504354319,3.14901
1.5432806485535933,1.1979934083791948,3.37464
1.905292095047371,2.087136001824031,5.40531
1.6547330890207035,1.528543652880087,4.0613399999999995
1.5916554949014563,1.7362693106399132,4.45374
2.4535952054587162,2.2356765446437015,6.29802
0.8904973127415938,0.9231552283771131,2.7271799999999997
2.220753759267335,2.406727108685154,5.738849999999999
0.6958303374027321,0.5164726654044722,1.50093
2.027796844225279,2.209291715702116,5.2974
2.972119711527448,2.8750860183218867,7.87743
1.850353417336807,1.9835365558592564,5.62113
1.689509669327169,1.833944451457023,4.82652
1.9633320728037833,2.1399565569702577,5.58189
2.952557406139633,1.9446156906262997,4.25754
1.6093533479786222,1.3470443413748487,3.7278000000000002
1.8331930314890463,1.7579417812202998,4.40469
3.408550344053906,3.6406305296624097,9.01539
1.6775099999999998,1.760560225837219,4.14963
1.6556875755558473,1.811923199440307,5.11101
5.313973864515143,2.890955014632708,7.49484
1.9880201595557323,1.7906801853150662,5.18949
3.139905014582448,1.704638172117473,4.75785
1.4033615601298193,1.517596748187739,4.09077
1.614090350584502,1.6356156250996137,4.10058
2.1683909733140836,2.3637370917066898,7.122059999999999
2.2085067755386216,2.4039317762033097,6.327450000000001
2.765071666096559,2.2899049104165874,6.64137
2.0469390319450165,0.9346756037898923,2.8449
1.1619226171307624,1.2580383166501727,3.68856
0.9855917786030888,1.0576875531980132,2.78604
1.0459119408678725,0.991047936777026,2.78604
1.715025376590679,1.8786470166984537,5.768280000000001
2.3593610856119502,2.3164537825650657,6.61194
1.5944192728388604,1.5711320647864075,4.0221
2.5558862623461946,1.7792367188291727,5.346450000000001
1.9572609516106942,2.126718103266157,5.25816
1.007170616827159,1.0903790360970813,3.14901
1.6608043172360794,1.4796881883390163,4.2183
0.9345451761150982,0.7277671330583706,1.91295
0.93387558962637,1.0187611397182366,2.41326
2.2806931413497957,2.409865319705647,6.53346
1.3055472440513212,1.0385032989210965,2.77623
1.7652412866092837,1.9075620044208261,5.218920000000001
1.8003822377900756,1.8133425225670963,4.98348
1.0412703878676277,1.136697812943264,3.52179
1.3498467317995773,1.4718977962311106,3.88476
1.7659135380165134,1.8639249550961006,4.33602
1.1991964316366188,1.3060115548148876,3.31578
1.72912207631503,1.4506952463422496,3.30597
1.817146384994891,1.6223458352274953,4.14963
2.2824681984093447,2.4391094178962125,7.33788
0.9243029685930908,0.9898366159270933,2.48193
1.2954401228154082,1.4048340161314432,3.25692
1.0726522140237256,1.0186682460300802,3.07053
1.011009227183412,1.1061124833713794,2.98224
1.083461096578922,1.0917021229987602,3.10977
1.360380918107131,1.4347003422561802,3.60027
2.240133780781853,2.1791364399596462,6.602130000000001
1.5918771767476285,1.369115456121214,3.61008
0.7274849775768569,0.7832697831781844,2.05029
0.9605871986186366,0.8859557951444305,2.31516
0.9992806477411639,0.9645463520588319,2.3544
2.174304121437477,1.2144394355751134,3.1391999999999998
1.7329858547316535,1.7694259771236547,4.98348
3.6572534330149997,3.9970599919791048,12.125160000000001
1.7858556473998677,1.9310348141009783,5.08158
5.454164443436776,4.140421651777751,10.5948
1.4680242450484255,1.5673267256669874,4.6205099999999995
3.4452262830110305,2.317739230662069,5.95467
3.1407452056398975,2.9994380474732263,7.2594
